a,b,endpoint,kind,delta,lo,hi,clears_zero,p_two_sided,p_holm,survives_holm,p_a_better,lower_is_better,min_detectable,degenerate,n_images,n_subjects,n_boot,question
segformer_b0_distilled,segformer_b0_direct,zero_dice_rate,confirmatory,-0.013513513513513514,-0.04707282913165265,0.0,False,0.7024,1.0,False,0.6488,True,0.023536414565826325,False,74,18,10000,"Stage A's distillation question, restricted to small lesions. The whole-set version is NON-INFERIOR (delta +0.0017, CI [-0.0088, +0.0135]); if KD buys anything it should be here or nowhere."
segformer_b0_distilled,segformer_b0_direct,mean_recall,confirmatory,-0.007199763989644836,-0.02994682881590077,0.01374457631367762,False,0.5286,1.0,False,0.2643,False,0.021845702564789196,False,74,18,10000,"Stage A's distillation question, restricted to small lesions. The whole-set version is NON-INFERIOR (delta +0.0017, CI [-0.0088, +0.0135]); if KD buys anything it should be here or nowhere."
segformer_b0_distilled,segformer_b0_direct,median_dice,confirmatory,0.005124066050988807,-0.01478409322675256,0.03687009938649832,False,0.7674,1.0,False,0.6163,False,0.02582709630662544,False,74,18,10000,"Stage A's distillation question, restricted to small lesions. The whole-set version is NON-INFERIOR (delta +0.0017, CI [-0.0088, +0.0135]); if KD buys anything it should be here or nowhere."
segformer_b2_teacher,segformer_b0_direct,zero_dice_rate,confirmatory,-0.013513513513513514,-0.04707282913165265,0.0,False,0.7024,1.0,False,0.6488,True,0.023536414565826325,False,74,18,10000,Does the 7.4x larger teacher find small bruises the student misses? The whole-set contrast is INCONCLUSIVE with identical miss rates.
segformer_b2_teacher,segformer_b0_direct,mean_recall,confirmatory,-0.015719780149985874,-0.055712173666752775,0.038584289938180735,False,0.4924,1.0,False,0.2462,False,0.04714823180246676,False,74,18,10000,Does the 7.4x larger teacher find small bruises the student misses? The whole-set contrast is INCONCLUSIVE with identical miss rates.
segformer_b2_teacher,segformer_b0_direct,median_dice,confirmatory,0.006702471317874603,-0.04202233053405158,0.055250668159544825,False,0.9832,1.0,False,0.5084,False,0.0486364993467982,False,74,18,10000,Does the 7.4x larger teacher find small bruises the student misses? The whole-set contrast is INCONCLUSIVE with identical miss rates.
segformer_b0_direct,yolo_sem_direct,zero_dice_rate,confirmatory,-0.12162162162162163,-0.2641509433962264,-0.03488372093023256,True,0.0014,0.0168,True,0.9993,True,0.11463361123299692,False,74,18,10000,Accuracy tier vs speed tier. The whole-set version is the one exploratory contrast in the study that already WINS (delta +0.064); this asks whether the win is entirely a small-lesion effect.
segformer_b0_direct,yolo_sem_direct,mean_recall,confirmatory,0.1277646687099594,0.02299133253711891,0.24602474158276058,True,0.0146,0.1606,False,0.9927,False,0.11151670452282084,False,74,18,10000,Accuracy tier vs speed tier. The whole-set version is the one exploratory contrast in the study that already WINS (delta +0.064); this asks whether the win is entirely a small-lesion effect.
segformer_b0_direct,yolo_sem_direct,median_dice,confirmatory,0.03192910143901684,-0.0410353784586416,0.13157753079538423,False,0.414,1.0,False,0.793,False,0.08630645462701292,False,74,18,10000,Accuracy tier vs speed tier. The whole-set version is the one exploratory contrast in the study that already WINS (delta +0.064); this asks whether the win is entirely a small-lesion effect.
segformer_b0_direct,unet_r50,zero_dice_rate,confirmatory,-0.06756756756756757,-0.14516129032258063,-0.014084507042253521,True,0.0222,0.222,False,0.9889,True,0.06553839164016355,False,74,18,10000,"vs the strongest Stage B baseline. unet_r50 has the study's best median Dice (0.833) and 7 complete misses, all of them empty predictions."
segformer_b0_direct,unet_r50,mean_recall,confirmatory,0.03153086459202259,-0.05388917041307739,0.13145963733737567,False,0.499,1.0,False,0.7505,False,0.09267440387522653,False,74,18,10000,"vs the strongest Stage B baseline. unet_r50 has the study's best median Dice (0.833) and 7 complete misses, all of them empty predictions."
segformer_b0_direct,unet_r50,median_dice,confirmatory,-0.025295872086833704,-0.08102363487902386,0.03123193719941053,False,0.3842,1.0,False,0.1921,False,0.0561277860392172,False,74,18,10000,"vs the strongest Stage B baseline. unet_r50 has the study's best median Dice (0.833) and 7 complete misses, all of them empty predictions."
segformer_b5_teacher,segformer_b2_teacher,zero_dice_rate,exploratory,0.0,0.0,0.0,False,1.0,,,,True,,True,74,18,10000,Does more teacher capacity help at the small end? B5 has the best D1 recall in the field but the worst large-lesion Dice.
segformer_b5_teacher,segformer_b2_teacher,mean_recall,exploratory,0.05101663203120976,0.02116611459328207,0.07611880769546159,True,0.0032,,,0.9984,False,0.02747634655108976,False,74,18,10000,Does more teacher capacity help at the small end? B5 has the best D1 recall in the field but the worst large-lesion Dice.
segformer_b5_teacher,segformer_b2_teacher,median_dice,exploratory,0.02869658365051686,-0.012955051953423157,0.07430383566008059,False,0.0906,,,0.9547,False,0.04362944380675187,False,74,18,10000,Does more teacher capacity help at the small end? B5 has the best D1 recall in the field but the worst large-lesion Dice.
lraspp_mobilenetv3_b2kd,segformer_b5_teacher,zero_dice_rate,exploratory,0.013513513513513514,0.0,0.047072829131652456,False,0.7024,,,0.0,True,0.023536414565826228,False,74,18,10000,"POST-HOC, suggested by the 2026-08-07 descriptive table: a 3.22M mobile arm showed the highest bottom-decile recall in the study (0.844 vs 0.828). This is a hypothesis generated FROM the data and is reported as such."
lraspp_mobilenetv3_b2kd,segformer_b5_teacher,mean_recall,exploratory,-0.11521469839845977,-0.20979672538215277,-0.025771618300006453,True,0.0012,,,0.0006,False,0.09201255354107316,False,74,18,10000,"POST-HOC, suggested by the 2026-08-07 descriptive table: a 3.22M mobile arm showed the highest bottom-decile recall in the study (0.844 vs 0.828). This is a hypothesis generated FROM the data and is reported as such."
lraspp_mobilenetv3_b2kd,segformer_b5_teacher,median_dice,exploratory,-0.11442130102720283,-0.18424421675062597,-0.009022978903690304,True,0.0268,,,0.0134,False,0.08761061892346783,False,74,18,10000,"POST-HOC, suggested by the 2026-08-07 descriptive table: a 3.22M mobile arm showed the highest bottom-decile recall in the study (0.844 vs 0.828). This is a hypothesis generated FROM the data and is reported as such."
