a,b,endpoint,kind,delta,lo,hi,clears_zero,p_two_sided,p_holm,survives_holm,p_a_better,lower_is_better,min_detectable,degenerate,n_images,n_subjects,n_boot,question
segformer_b0_distilled,segformer_b0_direct,zero_dice_rate,confirmatory,-0.05263157894736842,-0.15789473684210525,0.0,False,0.6698,1.0,False,0.6651,True,0.07894736842105263,False,19,7,10000,"Stage A's distillation question, restricted to small lesions. The whole-set version is NON-INFERIOR (delta +0.0017, CI [-0.0088, +0.0135]); if KD buys anything it should be here or nowhere."
segformer_b0_distilled,segformer_b0_direct,mean_recall,confirmatory,0.005034132457040541,-0.0654090831565904,0.05414711554104956,False,0.8326,1.0,False,0.5837,False,0.05977809934881998,False,19,7,10000,"Stage A's distillation question, restricted to small lesions. The whole-set version is NON-INFERIOR (delta +0.0017, CI [-0.0088, +0.0135]); if KD buys anything it should be here or nowhere."
segformer_b0_distilled,segformer_b0_direct,median_dice,confirmatory,0.001980327611150301,-0.019800198845965067,0.061511032786722764,False,0.4328,1.0,False,0.7836,False,0.040655615816343915,False,19,7,10000,"Stage A's distillation question, restricted to small lesions. The whole-set version is NON-INFERIOR (delta +0.0017, CI [-0.0088, +0.0135]); if KD buys anything it should be here or nowhere."
segformer_b2_teacher,segformer_b0_direct,zero_dice_rate,confirmatory,-0.05263157894736842,-0.15789473684210525,0.0,False,0.6698,1.0,False,0.6651,True,0.07894736842105263,False,19,7,10000,Does the 7.4x larger teacher find small bruises the student misses? The whole-set contrast is INCONCLUSIVE with identical miss rates.
segformer_b2_teacher,segformer_b0_direct,mean_recall,confirmatory,0.044160005255014734,-0.07849168016064112,0.2689036067782591,False,0.6956,1.0,False,0.6522,False,0.1736976434694501,False,19,7,10000,Does the 7.4x larger teacher find small bruises the student misses? The whole-set contrast is INCONCLUSIVE with identical miss rates.
segformer_b2_teacher,segformer_b0_direct,median_dice,confirmatory,-0.004804944454823934,-0.17094954796501138,0.07085656260796502,False,0.835,1.0,False,0.4175,False,0.1209030552864882,False,19,7,10000,Does the 7.4x larger teacher find small bruises the student misses? The whole-set contrast is INCONCLUSIVE with identical miss rates.
segformer_b0_direct,yolo_sem_direct,zero_dice_rate,confirmatory,-0.2631578947368421,-0.6923076923076923,-0.03571428571428571,True,0.039,0.39,False,0.9805,True,0.3282967032967033,False,19,7,10000,Accuracy tier vs speed tier. The whole-set version is the one exploratory contrast in the study that already WINS (delta +0.064); this asks whether the win is entirely a small-lesion effect.
segformer_b0_direct,yolo_sem_direct,mean_recall,confirmatory,0.3061358858372597,0.1927000265046721,0.4803891773004705,True,0.0001,0.0012000000000000001,True,1.0,False,0.1438445753978992,False,19,7,10000,Accuracy tier vs speed tier. The whole-set version is the one exploratory contrast in the study that already WINS (delta +0.064); this asks whether the win is entirely a small-lesion effect.
segformer_b0_direct,yolo_sem_direct,median_dice,confirmatory,0.1467699032085652,0.001152951411264369,0.7341749307823084,True,0.0396,0.39,False,0.9802,False,0.36651098968552204,False,19,7,10000,Accuracy tier vs speed tier. The whole-set version is the one exploratory contrast in the study that already WINS (delta +0.064); this asks whether the win is entirely a small-lesion effect.
segformer_b0_direct,unet_r50,zero_dice_rate,confirmatory,-0.10526315789473684,-0.3076923076923077,0.0,False,0.1826,1.0,False,0.9087,True,0.15384615384615385,False,19,7,10000,"vs the strongest Stage B baseline. unet_r50 has the study's best median Dice (0.833) and 7 complete misses, all of them empty predictions."
